book_id,title,author,publisher,min_grade,max_grade,trait,reason
B001,완다는 별의 소리를 들어요 : 소리로 우주를 연구하는 시각 장애인 천문학자 이야기,"완다 디아스 메르세드,에이미 S. 핸슨",너머학교 : 너머,1,3,행동형,어릴 때부터 앓아온 당뇨 합병증으로 시력을 잃게 된 완다. 완다는 절망 속에서도 우주를 향한 열정을 포기하지 않고 남들은 눈으로 놓친 초신성의 미세한 진동을 찾아냈어. 자신만의 특별한 '청력'으로 한계를 넘어선거야. 완다처럼 용기를 가지고 '행동'해보면 어떨까?
B002,이게 행복이야 : 소소하게 행복한 순간들,마르타 쿠닐,파란자전거,1,3,분석형,"행복은 어디에서 시작될까? 어떤 날은 친구와 웃으며 하교하는 길에서, 또 어떤 날은 좋아하는 간식을 먹으며 행복감을 느끼기도 하지. 하지만 '행복은 뭐냐'는 질문.. 참 어렵지 않아? 이 책은 이 질문에서 출발해 행복을 탐색해나가는거야. 우리 '행복'을 함께 분석해보자."
B003,도서관의 악몽,자현,나무의말,1,3,상상형,매년 12월 31일이면 행복도서관에 나타나 같은 책을 빌려가는 아이를 상상해봐. 이 아이로 인해 도서관은 큰 소동에 휩싸이지. 이 책은 '상상'할 수 없는 전개가 포인트야. 도서관의 사서선생님은 아이를 꾸짖지 않고 아이가 스스로 도서관의 매력에 빠져들게 만들려고 노력하셔. 어떻게 그 친구가 책에 푹 빠져들게 되었을지 너무 궁금한걸!
B004,별일 없는 수요일,곽윤숙,샘터(샘터사),1,3,공감형,"열 살 가영이는 학교를 마치고 집으로 돌아오던 수요일, 잠깐 졸다 내려야 할 버스 정류장을 지나치고 말아. 사소한 실수로 시작된 '별일' 앞에서 가영이는 어떻게 하루를 이어갈까? 오늘 하루를 무사히 보낸 일에 감사해야 한다는게 이 책의 교훈일까? 너도 이 책을 읽고 가영이의 마음을 이해하고 '공감'해보는건 어때?"
B005,장애인은 버스가 불편해! : 모두가 평등하게 지낼 수 있을까?,이기규,영수책방,4,6,공감형,우리나라의 장애인 수는 전체 인구의 약 5%로 초등학생 수와 비슷하대. 하지만 너희는 장애인을 만난 적이 있니? 이 책은 오늘날 장애인이 살아가고 있는 현실을 보여주고 있어. 그리고 장애인에 대한 관심과 공감이 장애인을 위한 배려나 특혜가 아니라 동등하게 보장받아야 할 권리임을 보여주고 있지. 그들에 대한 '공감'은 그들의 권리야. 우리는 어떤 세상을 만들어야 할까? 책을 읽고 생각을 키워보는건 어때?
B006,사회의 쓴맛,양슬기,문학동네,4,6,분석형,가족들과 치킨을 먹어본 적이 있지? 그때 기분이 어땠어? 치킨을 먹는 풍경 속에서 화목한 가족의 모습을 그린 '치킨의 참맛'부터 아이를 바라보는 엄마의 마음을 담은 '액자 속의 여운'까지 다양한 동시가 담겨있단다. 사소한 일상을 '분석'한 작가의 섬세함이 돋보이지. 시가 다소 어렵게 느껴질 수도 있지만 초등학교 선생님이 쓰신 동시집인 만큼 한 번 읽어보는건 어때?
B007,전학생,김화요,이지북,4,6,행동형,누군가를 위해 마음속으로 정해 둔 '선'을 넘어본 적이 있니? 이 책은 전학생 '하도'가 친구를 위해 스스로 정해 놓았던 '선'을 넘어서는 과정을 보여주고 있어. '하도'의 용기가 때론 아플 수 있지만 한 뼘 더 성장하게 만들어주기도 하자. '하도'의 용기 있는 '행동'을 살펴보러 책을 읽어볼까?
B008,뭐든 과장하는 마을,셰르민 야샤르,아름다운사람들,4,6,상상형,"어느날 갑자기 부모님, 선생님, 친구들까지 모든 사람들이 평소와 다르게 과장된 행동을 하면 어떨까? 돈, 공부, 건강, 새로운 물건 등 다들 무언가에 하나씩 집착하며 극단적으로 행동하면 어떻게 될지 '상상'해볼까? 책의 주인공은 망ㄹ을 원래대로 되돌리기 위한 조사를 시작하지. 이 책에는 우리 사회의 다양한 문제점도 조금 과장되지만 유쾌하게 보여주고 있어. 아이들에게 삶에서 소중한 가치가 무엇인지, 어떻게 살아가는 것이 좋을지 책을 읽고 이야기를 나눠보는건 어때? "
